doc_id,text,review_text,restaurant_name,review_date,username,review_rating,bien,japonesa,sushi,mejor,comida,calidad,excelente,precio,rico,servicio,recomendable,genial,restaurante,espectacular,gran,mal,caro,experiencia,cena,trato,sitio,calidadprecio,relación,agradable,sorpresa
265096242,Cambio radical,"La primera vez que fuimos, salimos bastante contentos, con idea de repetir.Cuando volvimos el pasado mes de febrero, nos sorprendió el cambio que había dado la calidad del sushi. Los camareros son encantadores (aunque inexpertos).",Akira Sushi,2015-04-11,Conelpiquitoabierto,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261756963,N• 1 en el peor sushi,"El peor sushi de mi vida lo he comido en akira , de entrante una sopa de miso , el todo estaba agrio , ácido , llevaba muchos dias en la nevera seguro , el arroz pasado , y duro a la vez , muchísimo vinagre , Alomejor para tapar el mal sabor del pescado que llevaba unos cuantos días en la nevera , el atún se veía seco , opaco y el sabor horrible a nevera , el salmón lo mismo , lo peor de todo el maki de manzana ... Enserio ??? Luego la tempura , de risa , tenía que haber hecho fotos , me venían media berenjena y medio calabazin , pero medio de verdad estaba cortado pero no lo separo antes de freír entoces me dio una pelota de tenpura , el servicio ..... Nos sirvieron la comida , ya esta , no nos preguntaron si estaba bueno , si queríamos postre si nada , nada , lo único al final nos pidió si podíamos rellenar un cuestionario.  Gente de akira , probar vuestra Comida mirar vuestras neveras y cambiar al cocinero , que no se entera de sushi para nada",Akira Sushi,2015-03-25,bassmell,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259547861,No creo que vuelva a comer allí,"He ido al Akira en un par de ocasiones,ambas con Groupon. La primera fue en el otro local que tenían cerca de la Alameda. El trato fue muy bueno,el sushi estaba bueno y era original y al camarero se le notaba que entedía de este tipo de comida. La siguiente vez ya estaban en su actual ubicación y no nos gustó nada: estábamos arrinconados en una parte del bar donde iban metiendo y atendiendo a los clientes que iban a comer de tapas,era una situación un poco rara. El sushi era escaso e insípido y el resto de los platos bastante deficientes en todos los sentidos. Fue una decepción total y más teniendo la referencia anterior...",Akira Sushi,2015-03-15,Masensio80,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256384312,"PASABLE, NADA DEL OTRO MUNDO","Nos fuimos a cenar un par de matrimonios, en una noche sin peques.A mi me encanta el sushi, y como ademas es un sitio diferente con platos españoles tipo fusión, decidimos probar.Lo primero es que para que nos reservaran mesas utilizando una oferta que tenia, me pusieron mil pegas : eso tiene que ser por internet, con 48 horas de antelación o más, que si eo tiene un cupo maximo de comensales, que si no está el encargado,.... pero eso si, para reservar la mesa de forma habitual, no hubo ninguno. En fin, empezamos bien.....De primeo pedimos sushi, que no nos gustó a ninguno, no podias mojarlo en soja porque nada mas cojerlo con los palillos ya estaba deshecho por falta de consistencia; de segundo, un tataki de atun (muy bueno), y unos fideos con verdura , correctos.Los postres muy buenos todos.En definitiva, como japonés nada del otro mundo, el resto de los platos simplemente correctos.Para comer sushi iros a otro sitio.",Akira Sushi,2015-02-25,raquelescoto,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256136952,Ofertas engañosas,"El restaurante se anuncia en diferentes páginas con cheques descuento que luego tienen letra pequeña. La primera vez que fui con una oferta de chequechollo para 2 personas nos dijeron que no valía con captura de pantalla, que habia que llevar el cupón impreso, lo cual no venia indicado en la web. La segunda, que la oferta habia caducado, pero en la web se seguia anunciando, y que sí habia vigente una ""oferta"" 5 euros más cara. Al final decidimos quedarnos. La calidad es aceptable si bien el servicio de los camareros y el tiempo que tardan en servir dejó mucho que desear. Para no repetir",Akira Sushi,2015-02-24,Antonio G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255962402,No volveré NUNCA,"Somos amantes de la comida japonesa, en especial del sushi, habíamos pasado por delante y...¿Porqué no darle una oportunidad?Nada más entrar, te sorprende que está dividido, mitad japonés, mitad español. El sitio, nada acogedor.Pedimos sopa miso, bandeja de sushi y gyosas, La sopa Miso, alucinamos cuando nos la sirvieron en una sartén clásica negra de pintitas blancas de toda la vida, fría, muy poca cantidad y malísima, no pudimos acabarla.Las empanadillas, no sabían a nada y también frías,pero bueno.El sushi, MALÍSIMO, el arroz duro, sin saber a nada, y la presentación...En definitiva, os recomiendo que no vayáis nunca.",Akira Sushi,2015-02-23,lasans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254441084,"no vayais, porfavor!!","Me gustan mucho los japoneses y decidi provar uno nuevo, compre un cupon y fui co mi mujer y mis dos hijos (somos unos locos del sushi) , y vaya decepcion. Nada mas llegar el local se ve poco acogedor, de primer nos sirvieron una sopa miso que aparte de fria estaba malisima, despues tempura que fue lo unico que medianamente se pudo comer y para terminar. El arroz estaba mas duro que una piedra.en fin....un desastresolamente quiero destacar la atencion de los camareros, que en todo momento fue excelente",Akira Sushi,2015-02-16,CarlosVillalonga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251452485,Buena calidad a precio económico,"He de confesar que fui un poco ""asustado"" después de haber leído algunos comentarios del establecimiento pero nada más lejos de la realidad, el local está bastante bien.Si es verdad que el edificio está en obras y el aspecto del restaurante por fuera no es muy agradable, pero creo que tampoco se les puede culpar por una obra.Al grano, fui con unos compañeros con un groupon que incluía 60 piezas de sushi, 4 sopas miso y verduras en tempura, con 2 refrescos por persona.Antes de ir tuvimos un percance y uno de los compañeros tuvo que marcharse, a lo que no nos pusieron ningún problema y apartaron lo que le correspondía para poder llevárselo, con lo cual un 10 por el servicio.La sopa no era gran cosa y las verduras en tempura estaban cortadas demasiado gordas para mi gusto. Eso si, el sushi estaba riquísimo, especialemente uno hecho con cebolla crujiente.Repecto a la limpieza del local ninguna pega al contrario que lo que veo en otros comentarios. Lo que si puede que choque un poco es la distribución del local, que está dividido en 2: uno para la cocina española y otro para la japonesa.Resumiendo: muy buen servicio, comida rica y buen precio.",Akira Sushi,2015-01-28,wiki1984,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250304959,Para no ir mas,"Fui porque la publicidad que le dan en internet es grande. Nada mas llegar el sitio no me gusto. Esta dividido el local entre un restaurante japones y un restaurante español. La tabla de sushi estaba con un arroz que parecia hormigon. La suciedad abunda sobre todo en las estufas que no se limpian desde que se compraron. Quise venirme nada mas llegar pero intente darle un voto de confianza. Los camareros unos encantos pero al restaurante le veo poco tiempo de vida. Y ademas de mala la comida, estaba seca y pasada y nada de barato. Vamos para ponerlo en la lista negra.",Akira Sushi,2015-01-21,Enrique M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249899146,Servicio inmejorable,"Hoy he estado con mi mujer comiendo en este restaurante, es nuestro 25º aniversario de boda y esta era una de las sorpresas que le había reservado, quería que todo saliera bien y ha salido mejor. Nos ha encantado la comida, original en presentación y sabor, sobresaliente, sin duda para repetir. Y en cuanto al servicio, qué decir, han alcanzado la excelencia: rápidos, atentos, siempre con una sonrisa y repleto de detalles que dicen mucho del personal, profesionales que saben que ellos son lo más importante si desean ser competitivos. Puede que en otros japoneses la comida sea similar, o tal vez mejor (aunque me cuesta creerlo), pero con un servicio como este tienen asegurado el que los clientes salgan satisfechos y con ganas de repetir. ¡Gracias! ¡Nos veremos muchas veces!",Akira Sushi,2015-01-18,Saturana,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248150348,Genial aunque llegamos tarde,"Creo que el único inconveniente que tuvimos fue el llegar tarde y que no hubiese nadie mas en la parte japonesa; es decir, este restaurante comparte dueño con el de al lado que es un bar de tapas, y cuando llegamos, ya casi las doce de la noche nos sirvieron perfectamente, con mucha amabilidad y rapidez, pero tuvo que ser en el bar en vez de en el restaurante ambientado, puesto que tan solo había un camarero, pero vamos, fue genial igualmente y los palillos son muy creativo jajajaja, además de ser una comida deliciosa y muy ingeniosa puesto que mezclaba a la perfección lo asiático y el punto ""español"" o occidental. Sinceramente genial.",Akira Sushi,2015-01-07,Marta S,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
240450376,La cara y la cruz,"Fuimos de cupón dos parejas y quedamos muy decepcionados. Esperamos mucho, el sushi muy pequeño, nos pusieron un sólo plato de tempura y los cubiertos y servilletas tuvimos q reclamarlos en más de una ocasión. A la primera camarera parece que no le importaba nada. En mitad del servicio llegó un joven muy atento y servicial que mejoró la imagen pero no para llegar al aprobado. Asumió muy bien las críticas, eso sí. NO VOLVEREMOS.",Akira Sushi,2014-11-18,M5344LScarlosr,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
