review_id,restaurant_name,review_date,username,review_title,review_rating,review_text
407234893,YAMAZAKI,2016-08-18,Coral H,Gran descubrimiento,5,"He comido sushi en muchos restaurantes y locales para llevar en Sevilla, y ninguno estaba a la altura de este. Piezas de buen tamaño, pescado fresco y sabroso, arroz bien avinagrado y al punto, jengibre fresco (no encurtido) y una gran presentación. Además, el local está muy bien decorado y cuidado y la atención del camarero ha sido cordial y muy atenta.La relación calidad-precio es buena, teniendo precios más asequibles que otros locales de peor calidad.Otros platos como el okonomiyaki o las gyozas estaban muy ricas. Volveremos seguro."
403113334,YAMAZAKI,2016-08-09,Almudena L,Un lugar al que uno siempre quiere volver,5,"Este restaurante te permite disfrutar de una comida japonesa de muy buena calidad. Lo mejor es dejarte llevar por las recomendaciones de los camareros, son muy amables y todo lo que ofrecen está genial. Recomiendo reservar e ir con paciencia si cae en días festivos o fin de semana, sobre todo por la noche ya que puede llenarse y ralentizarse la cocina. El precio es algo elevado pero se paga con gusto tras el gran banquete japones."
396833578,YAMAZAKI,2016-07-25,Elviajero300485,Excelente opcion para Sushi en Sevilla,5,"Fuimos un grupo de amigos con la idea de comer sushi y la verdad que terminamos 100% satisfechos.Buen valor por el dinero pagado, excelente presentación de los platos y buena calidad y sabor en la comida. Tienen una carta muy variada que se complementa además con varias opciones fuera de carta. El vino blanco seco que tienen es buenisimo.A mejorar: los menues no tienen fotografias ni son autoexplicados, es decir que para quien no entiende de sushi debe necesariamente preguntarle a la camarera quien nos explicó muy amablemente. Quizas el servicio podría mejorar un poco en cuanto a velocidad y grado de atencion a las necesidades de los comenzales."
393988880,YAMAZAKI,2016-07-18,Kocofilms,"Muy Buen Sushi, bonito restaurante.",4,"Estupendo restaurante para comer, nos gustan sus ensaladas, Nigiris, Makis de muy buena calidad sobre todo los Makis especiales que son muy originales y sabrosos, me gusto en especial el Dragón Roll tempurizado con queso y aguacate, También he de destacar los Yakisoba Udon que están buenísimos. Tienen una buena carta de vinos y cerveza japonesa super fría. El lugar donde se encuentra es inmejorable (a los pies de la setas) y el servicio muy bueno, todos lo camareros muy simpáticos. Por último comentar que la decoración del restaurante me parece preciosa, la única pega es que me pareció un poco caro, por lo demás genial."
392545525,YAMAZAKI,2016-07-14,franciscorC1807JE,Muy buen Restaurante Japones,5,"Es Japones auténtico y todo lo cocinan a la vista.Tiene un menú genial por 9,90€. no entran las bebida, todo muy bueno y bien elaborado..Nos atendieron muy bien, el local es muy tranquilo."
385945575,YAMAZAKI,2016-06-25,Azzore,Riquisimo todo,5,"Todo riquisimo. El sitio es espectacular y el personal igual. El sushi riquisimo, la cerveza japonesa estas buenisima. Recomiendo el helado de te verde."
380121640,YAMAZAKI,2016-06-06,Ramon_Marquez,Muy bueno restaurante japonés,4,"Fui a este lugar recomendado por unos compañeros y la verdad que cumplió bastante bien con las expectativas que llevaba al lugar. Todo lo que pedimos estuvo bastante bien, Gyozas de pollo, uramaki tataky (el que más nos gustó) y un surtido de sushi de distintos tipos. La verdad que Todo tenía un sabor muy bueno, se notaba la calidad del producto. También pedimos para los niños un arroz con pollo, del que todos acabamos cogiendo porque tenía un gusto bastante rico.De los postres destacar por encima del resto la sopa de chocolate blanco.En definitiva un sitio muy agradable, ubicado en un lugar privilegiado y con un trato muy bueno por parte de los camareros, muy agradables y siempre con una sonrisa. A nosotros nos atendieron bastante rápidos. Volveremos."
379492777,YAMAZAKI,2016-06-03,Raquel66FM,Comida japonesa por japoneses,4,"La comida ha estado muy buena.Resalto comida japonesa por japoneses porque todo el personal es japonés. No sucede en todos los restaurantes japoneses.Relación/precio es bueno, teniendo en cuenta que la comida japonesa es un poco cara.Buen servicio y atento.Me ha ecantado el sitio."
372298487,YAMAZAKI,2016-05-12,Natividad N,Para ir sin prisas,4,"No le pongo las 5 estrellas porque el servicio es lentísimo y no porque la única camarera para todo un restaurante y terraza valla lenta, si no que es imposible que una persona pueda atender tantísimas mesas... Eso tienen que cambiarlo.El restaurante está muy bien, la comida espectacular, no tienen platos echos lo preparan todo sobre la marcha y está todo en su punto. Es otro restaurante japones para mi lista.Como siempre somos de buen comer, íbamos 3 personas, 160,30€ y pedimos:.- 2 botellas de vino.- Tataki de atún.-Tapa de Tataki de buey (Increíble!!! me gustó más que el de atún).- Gyoza Pollo (muy buenas y echas al momento están genial!).- 4 Nigiri Salmón, 2 Atún, 4 Pez Mantequilla, 2 Unagi, 2 Toro, 2 Ebi, 3 Buy, 1 Tamago y 1 Lubina (Espectaculares todos, el de anguila y de buy increíbles).- Yakisoba.- YakitoriEspectacular todo, la comida está muy buena y como ya he dicho si mejora el servicio volveremos!"
371286764,YAMAZAKI,2016-05-08,javierf194,Buen restaurante japonés,5,"Muy buena relación calidad precio. Probamos gran variedad de nigiris, makis, uramakis... Dispone de una terraza en la plaza de la encarnación que en verano puede ser muy interesante. En general un restaurante japonés muy recomendable."
370890806,YAMAZAKI,2016-05-07,vpuebla,Una maravilla,5,"Es un placer comer aqui. Todo esta muy bueno pero os recomiendo especialmente la ensalada wakame con vieira, el tartar de pez mantequilla, el uramaki de buey, el teppinyaki de presa iberica, el unagi(anguila) y el ikura (huevas de salmon). Encima un precio increible. Solo les queda mejorar la carta de postres y licores, pero se les perdona"
370264154,YAMAZAKI,2016-05-04,Marariacaceres,Buen restaurante japonés,5,Me ha gustado mucho este restaurante. La calidad de la comida es muy buena y la presentación elegante y delicada. El servicio muy amable. Muy buena relación calidad precio. Exquisito el tartar de pez mantequilla y muy fresco el sushi. También tienen terraza si te gusta estar en el exterior.
369201322,YAMAZAKI,2016-05-01,Cristian P,De los mejores japoneses que he estado,5,"La atención muy buena. Calidad, cantidad y precio muy buena. El tamaño tapa es generoso. El tartar pez de mantequilla es riquísimo! La foto es del mix de 24 piezas"
